gene,log2FC,AveExpr,t,P.Value,adj.P.Val
GSTA1,0.46405424427045006,6.764208239668523,1.6463307688079263,0.1403675768956865,0.8452527465215344
GPX2,-0.16369016982736984,4.978111345059023,-1.5536498502526674,0.16091493103376095,0.857486217931372
NQO1,-0.10068891377566569,5.561300220807293,-1.0142513353263216,0.34171182480361273,0.9201357342530144
GSTA2,0.470711369715068,6.021819053628826,0.9928557177324752,0.351385320793626,0.9236536346908981
SOD2,-0.2224825659227312,5.0502948802641,-0.8798817529171641,0.40592997945021003,0.9287766383764781
HMOX1,-0.1789322786355072,2.383209388565904,-0.7331387205198193,0.48550607975576265,0.9374636678773454
GCLC,-0.09376306115474531,5.027634935858428,-0.5735604229439291,0.5828621255294312,0.9466561956105483
NFE2L2,-0.013450560049116156,6.18574538286215,-0.15901518662809966,0.8778079601301334,1.0
GCLM,0.004163949905889197,5.264905800071651,0.05115421053877773,0.9605236604165809,1.0
