Gene_Symbol,GSM1289627,GSM1289628,GSM1289629,GSM1289630,GSM1289631,GSM1289632,GSM1289633,GSM1289634,GSM1289635,GSM1289636,GSM1289637,GSM1289638,GSM1289639,GSM1289640,GSM1289641
LOC728032,4.391871,-0.03007862,3.573213,-5.395245,-0.4781044,-0.4598742,2.047678,5.475764,7.205584,4.632674,4.250508,2.878075,5.134629,2.059218,-2.333574
LOC728037,42.48474,59.88565,56.23886,39.16233,61.16049,83.16222,84.93987,75.84656,70.93301,66.8012,69.1731,46.059,52.23313,77.58576,71.22101
LOC728044,-9.774849,1.947617,3.738353,-4.407991,-0.4781677,4.482694,5.271739,1.150675,3.258133,1.147209,-0.6201848,-0.2449717,-3.500342,1.747733,2.731274
LOC728056,-0.5112078,-2.328329,2.770772,16.43364,2.953424,6.911605,13.5007,5.333926,-3.53212,0.3655467,-1.929848,5.935336,3.910455,1.470018,0.4682472
LOC728066,-1.191971,-2.32884,-1.876455,-2.11533,2.953972,0.6469104,7.194556,4.260439,-0.3587919,-0.9698435,-2.42378,-1.192727,-2.771698,1.406502,1.726755
LOC728069,213.4278,183.7296,258.9804,239.665,336.4243,150.3229,225.1691,189.2619,149.1982,164.1786,87.60751,175.145,113.1173,168.2567,116.1027
LOC728070,4.228837,1.003435,18.20685,1.443029,7.726201,13.49602,3.73665,5.178636,-0.9545105,-3.573439,6.929963,10.03167,4.943031,2.029337,8.456933
LOC728080,1.980055,2.541009,-1.880566,-5.396907,-0.471049,-5.099569,-0.007257577,8.227486,4.27141,3.337623,10.43482,5.310756,-1.65067,5.939066,6.562392
LOC728081,6.891879,0.4783081,-3.337847,5.920029,-10.65963,-0.4619301,1.347674,3.16408,-1.157415,-0.743781,-4.587501,-3.457768,3.172055,-3.062186,0.1530215
LOC728089,4.22968,2.541157,3.652397,2.768702,-0.4712774,2.721617,7.198468,0.2038175,1.326673,4.013295,2.943125,4.025015,6.151203,7.578657,0.2018379
LOC728094,-0.247601,-8.020929,3.651532,10.57384,2.954479,-0.4706111,-3.891295,10.02704,13.19582,10.30022,10.4389,3.485209,9.914335,7.196968,5.517492
LOC728095,-7.103437,-5.071764,-1.89359,4.200785,22.83948,1.410667,-5.426076,4.68648,5.160868,4.683269,-0.2488978,4.649042,2.452333,1.405014,3.070719
LOC728103,-1.191303,14.76455,-6.814599,-6.157118,1.950058,4.489614,-9.378489,11.0886,-1.222771,5.753546,0.3709656,7.61668,10.02246,1.422622,14.30203
LOC728116,1.982549,6.783932,-0.5054827,-0.008966815,1.949732,4.489783,-5.427849,5.403538,16.1163,4.232924,2.755919,2.14789,-1.062504,14.10514,0.1777336
LOC728117,-8.021866,6.26581,4.565023,4.192805,-2.519031,-3.116972,-11.48067,0.1786464,-2.33779,1.410253,-3.506033,5.870136,-4.491641,-2.226938,-8.385124
LOC728119,-2.121644,2.542176,2.787263,5.904629,10.55496,-5.093446,-2.73701,0.192985,3.342514,2.711424,6.046891,4.941418,2.703393,5.319312,7.373156
LOC728127,10.886101499999999,15.53453,16.756285,0.2540264999999997,16.434965,15.744744999999998,1.1893019999999996,0.6599279999999998,16.825141499999997,0.17365200000000014,0.9918740000000001,3.82940315,5.5503415,3.1166039,4.799348
LOC728137,-14.13678,14.76496,8.233638,-4.402263,4.110771,-5.092582,14.92818,-7.722634,-3.431916,-8.956961,-5.026409,-8.408114,3.554463,-7.644293,-5.309301
LOC728145,-4.239779,3.901992,-3.45823,-2.117127,-0.4690786,6.910149,-2.73687,-4.261785,-7.704795,-5.345274,-0.5169855,-0.6449407,-6.136034,-3.66905,-0.4935318
LOC728153,69.58175,50.32811,53.07502,-0.6492823,22.31862,72.8756,53.58621,6.353052,89.07678,35.55114,42.79552,35.2042,85.14705,34.71267,74.02866
LOC728160,0.9325085000000002,-3.8412944999999996,1.9400334000000001,-0.64950385,11.998607,0.6100949,0.4013334999999999,2.6920299500000002,5.2948965,11.0066805,13.8724385,-0.4836745,7.1753965,4.5611155,1.9113395
LOC728181,3.480122,3.259052,0.6099586,-2.093208,-6.196668,4.926959,21.39953,-3.851104,-5.948477,-0.1506309,-6.9749,0.557236,6.251112,4.277318,-0.149425
LOC728183,-4.254088,-5.744133,-2.333099,-5.412642,10.46402,-4.685186,1.34078,-7.680058,-7.994387,4.376683,0.63809,2.736336,-3.567089,-8.549003,1.434883
LOC728185,8.58864,5.321633,6.357198,-0.02622985,-6.193478,3.356478,2.864652,-11.97218,-5.305435,-5.356001,-8.372262,-6.706643,-15.29275,-6.535212,-2.232925
LOC728193,1.45944,-0.02951532,8.234294,5.905407,7.716647,4.489029,-4.23067,26.30118,5.90985,15.4934,6.055222,8.127454,17.63549,6.363708,24.88548
LOC728216,10.4205,15.4934,3.516825,2.771854,7.71566,6.912659,45.64734,-0.259275,2.703393,-0.8209765,1.387061,16.53082,4.612625,-0.5079854,4.588432
LOC728219,8.58904,-5.066842,4.011222,1.446487,1.949891,-0.4668658,-3.897498,2.366221,6.148938,5.270813,3.473406,-2.109577,-1.238194,0.7250697,8.84287
LOC728226,4.5782545,5.3654255,6.212138,15.524692499999999,10.921095000000001,12.245014999999999,14.878775,17.956675,23.098285500000003,15.6333635,25.223505,5.9142174999999995,7.301918000000001,13.4764155,15.610358999999999
LOC728229,18.76703,29.11611,3.532454,39.45313,7.724391,41.97914,53.6332,14.10951,13.51088,21.37633,14.8439,10.43482,5.669852,19.98525,21.02489
LOC728241,4.580489,5.320746,6.781299,-4.402345,1.061759,-6.535773,-2.228395,-2.119942,0.3434843,3.360491,2.00072,0.1968816,5.833303,0.6397273,5.140416
LOC728242,-1.192585,5.317883,3.549243,2.771697,1.782813,2.726436,-0.007768237,21.71499,14.12296,21.37018,21.84543,10.21408,17.74088,28.26941,49.91999
LOC728248,-0.2486198,-1.407252,-0.8235725,1.445515,4.112809,-5.094139,0.448496,2.794163,-1.283201,1.043752,1.781155,-2.012437,3.165664,-2.079993,1.343345
LOC728269,-6.63859,-2.471253,0.22716150000000002,4.341476,-2.5158477500000003,-1.531583,5.77213585,-2.1800465,0.5622599999999998,5.924352999999999,5.0971525,0.14995899999999995,-3.4099823000000002,2.8835214999999996,1.7824365
LOC728276,-0.2492785,-3.532726,-2.411854,-5.857492,-3.41066,-0.4677945,-3.928269,-1.891623,-1.060881,0.1920059,1.656022,8.460454,-4.670716,1.232258,0.4476842
LOC728285,-0.2489479,8.255004,7.018466,-0.6379784,10.53932,3.337896,-6.194127,2.724849,2.280471,6.57246,1.142741,2.368027,1.856989,7.2149,5.302836
LOC728302,4.589029,1.942504,2.780856,-2.09246,1.782515,7.59454,1.333601,5.138188,10.31756,3.487122,1.731128,-5.460111,2.364647,2.921639,2.282273
LOC728308,1.981462,7.468522,0.598469,10.65301,2.960087,3.335059,1.332808,0.1461996,13.37412,-1.069745,2.459089,2.023565,2.985419,-0.4647112,-4.101222
LOC728320,-1.192433,1.870673,-4.65575,-0.06814676,1.060384,1.417028,3.575643,-8.356119,-8.554608,-9.464399,-6.864855,-2.108353,-7.746817,-1.428198,-4.331285
